연도,지역,일시 정전 발생 건수,순시순간 정전 발생 건수
2023,서울본부,33,76
2023,남서울본부,46,106
2023,인천본부,51,145
2023,경기북부본부,88,132
2023,경기본부,153,352
2023,강원본부,87,115
2023,충북본부,36,131
2023,대전세종충남본부,80,238
2023,전북본부,59,198
2023,광주전남본부,158,343
2023,대구본부,61,196
2023,경북본부,44,141
2023,부산울산본부,71,326
2023,경남본부,49,191
2023,제주본부,29,81
