날짜, 1시 , 2시 , 3시 , 4시 , 5시 , 6시 , 7시 , 8시 , 9시 , 10시 , 11시 , 12시 , 13시 , 14시 , 15시 , 16시 , 17시 , 18시 , 19시 , 20시 , 21시 , 22시 , 23시 , 24시 
2023-09-26,1306.4,1307.4,1304.3,1307.6,1305.4,1307.1,1309,1344.6,1411.6,1439,1462.2,1490.8,1498.4,1483,1429.8,1398.1,1385.6,1336.8,1326.7,1339.7,1335.9,1328.5,1316.6,1304.9
2023-09-27,1305.2,1307.8,1313,1315.6,1318.5,1324.4,1334.6,1369,1434.7,1486,1544.3,1575.8,1565.2,1556.1,1510.3,1459,1412.2,1348.5,1332.2,1338.3,1336.2,1327.4,1316.9,1310.8
2023-09-28,1312,1314,1313.2,1318.5,1313.7,1324.8,1323.5,1341.3,1390.2,1455.1,1436.8,1452.8,1549.1,1551.8,1544.7,1500.1,1424.4,1357.9,1348.7,1358,1353.2,1368,1375.7,1367.1
2023-09-29,1344.7,1344.3,1323.6,1298.8,1297.5,1315.7,1315.1,1336.7,1397.9,1468.2,1513.9,1541.9,1544.7,1518.9,1477.1,1403.6,1346,1282.4,1261,1264.7,1264.5,1263.6,1264.3,1261.7
2023-09-30,1262.9,1267.6,1266.3,1274.5,1286.7,1309.7,1314.7,1334.6,1365.3,1327.6,1304.3,1328.3,1340.8,1322,1319.9,1357.9,1353.8,1344.7,1340,1354.6,1331.2,1349,1369.8,1327.6
2023-10-01,1259.1,1266.8,1266.5,1259.9,1252.8,1268.2,1251.5,1285,1329,1414.9,1438.7,1457.3,1457.5,1457.5,1440.1,1445,1367.4,1293.3,1299.9,1305.6,1297.3,1288.1,1275.7,1225.2
2023-10-02,1157,1139.4,1153.5,1151.7,1145.5,1190.6,1198.4,1190.3,1234.2,1341,1407.3,1405.3,1397,1387.5,1352.5,1305.1,1239.1,1195.6,1194.4,1209.8,1203.9,1198.4,1195.5,1193
2023-10-03,1195.2,1193.6,1196,1196.9,1203.5,1215.4,1215.2,1221.4,1241.8,1223.1,1289.1,1295.9,1314.6,1321.2,1292.9,1266.4,1276.8,1279,1283.4,1271.2,1286,1278.2,1271.5,1261.6
2023-10-04,1255.8,1253.1,1256.8,1260.4,1255.9,1269.2,1279,1308.9,1381.5,1460.9,1505.2,1522.5,1531.1,1523.7,1516.9,1501.1,1419.2,1341.9,1350.2,1344,1358.9,1398,1349.8,1304.8
2023-10-05,1304.8,1325.4,1376,1398,1396.5,1436.5,1453,1459.9,1520.2,1533.4,1554.4,1537,1522.8,1513,1386.3,1350,1339.5,1271.8,1260.4,1282.4,1269.2,1239.5,1218.1,1214.8
2023-10-06,1198.3,1191,1190,1178.6,1165.7,1170.7,1182.2,1217.6,1275.1,1245.4,1366.5,1356,1357.6,1363.2,1238,1208.4,1185.7,1163.4,1194,1217.2,1178,1196.3,1189.6,1178.1
2023-10-07,1167.5,1167.3,1177.9,1172.7,1155.5,1157.2,1149.7,1159.4,1164.6,1194.5,1183,1196.3,1192.8,1181.8,1151.6,1149.6,1152.5,1143.9,1153,1179.6,1189.3,1188.7,1179.1,1190.2
2023-10-08,1184.8,1208.2,1215.9,1201.6,1188.4,1219.6,1224.4,1232,1235.4,1142.4,1169.2,1262.8,1259.9,1269.2,1236.4,1224.4,1225.3,1216.1,1221.7,1213.6,1216,1202.5,1207.2,1191.4
2023-10-09,1178.7,1172.2,1164.4,1164,1165.8,1176.9,1170.8,1197.2,1207,1191.2,1232.9,1180,1149.1,1154.2,1192.1,1115,1047.4,1029.3,1066.9,1067.8,1049.5,1038.5,1032,1066.7
